Date,Open,High,Low,Close,Adj Close,Volume,Categorical_Variable
6/7/2019,186.509995,191.919998,185.770004,190.149994,188.416077,30684400,3
6/10/2019,191.809998,195.369995,191.619995,192.580002,190.823929,26220900,4
6/11/2019,194.860001,196,193.600006,194.809998,193.033585,26932900,5
6/12/2019,193.949997,195.970001,193.389999,194.190002,192.41925,18221800,1
6/13/2019,194.699997,196.789993,193.600006,194.149994,192.379593,21674600,2
6/14/2019,191.550003,193.589996,190.300003,192.740005,190.982468,18761500,3
6/17/2019,192.899994,194.960007,192.169998,193.889999,192.121979,14669100,4
6/18/2019,196.050003,200.289993,195.210007,198.449997,196.640396,26551000,5
6/19/2019,199.679993,199.880005,197.309998,197.869995,196.065689,21124200,1
6/20/2019,200.369995,200.610001,198.029999,199.460007,197.64119,21514000,2
6/21/2019,198.800003,200.850006,198.149994,198.779999,196.967377,47800600,3
6/24/2019,198.539993,200.160004,198.169998,198.580002,196.769211,18220400,4
6/25/2019,198.429993,199.259995,195.289993,195.570007,193.786667,21070300,5
6/26/2019,197.770004,200.990005,197.350006,199.800003,197.978088,26067500,1
6/27/2019,200.289993,201.570007,199.570007,199.740005,197.91864,20899700,2
6/28/2019,198.679993,199.5,197.050003,197.919998,196.115219,31110600,3
7/1/2019,203.169998,204.490005,200.649994,201.550003,199.712143,27316700,4
7/2/2019,201.410004,203.130005,201.360001,202.729996,200.881363,16935200,5
7/3/2019,203.279999,204.440002,202.690002,204.410004,202.546051,11362000,1
7/5/2019,203.350006,205.080002,202.899994,204.229996,202.367676,17265500,2
7/8/2019,200.809998,201.399994,198.410004,200.020004,198.196075,25338600,3
7/9/2019,199.199997,201.509995,198.809998,201.240005,199.404968,20578000,4
7/10/2019,201.850006,203.729996,201.559998,203.229996,201.376816,17897100,5
7/11/2019,203.309998,204.389999,201.710007,201.75,199.910309,20191800,1
7/12/2019,202.449997,204,202.199997,203.300003,201.446182,17595200,2
7/15/2019,204.089996,205.869995,204,205.210007,203.33876,16947400,3
7/16/2019,204.589996,206.110001,203.5,204.5,202.635223,16866800,4
7/17/2019,204.050003,205.089996,203.270004,203.350006,201.495712,14107500,5
7/18/2019,204,205.880005,203.699997,205.660004,203.784653,18582200,1
7/19/2019,205.789993,206.5,202.360001,202.589996,200.742645,20929300,2
7/22/2019,203.649994,207.229996,203.610001,207.220001,205.330429,22277900,3
7/23/2019,208.460007,208.910004,207.289993,208.839996,206.935638,18355200,4
7/24/2019,207.669998,209.149994,207.169998,208.669998,206.767212,14991600,5
7/25/2019,208.889999,209.240005,206.729996,207.020004,205.132263,13909600,1
7/26/2019,207.479996,209.729996,207.139999,207.740005,205.845688,17618900,2
